METHOD,AGENTNUM,ITERNUM,SOURCE,SCORE,TIME
Sequential,5,90,cleavland.csv,0.541254,51.452317
MPI,5,90,cleavland.csv,0.541254,9.632314
OpenMP,5,90,cleavland.csv,0.541254,21.790375
Sequential,5,100,cleavland.csv,0.541254,16.758953
MPI,5,100,cleavland.csv,0.541254,9.047694
OpenMP,5,100,cleavland.csv,0.541254,23.332782
Sequential,5,10,cleavland-9.csv,0.555556,0.004598
MPI,5,10,cleavland-9.csv,0.555556,0.005698
OpenMP,5,10,cleavland-9.csv,0.555556,0.011223
Sequential,5,10,cleavland-100.csv,0.250000,0.252737
MPI,5,10,cleavland-100.csv,0.250000,0.041723
OpenMP,5,10,cleavland-100.csv,0.250000,0.225733
Sequential,5,10,cleavland-600.csv,0.246667,7.853290
MPI,5,10,cleavland-600.csv,0.246667,1.366607
OpenMP,5,10,cleavland-600.csv,0.260000,5.559439
Sequential,5,10,cleavland-1000.csv,0.217000,15.605646
MPI,5,10,cleavland-1000.csv,0.217000,1.323440
OpenMP,5,10,cleavland-1000.csv,0.217000,7.669917
Sequential,4,10,cleavland.csv,0.541254,3.997181
MPI,4,10,cleavland.csv,0.541254,1.632921
OpenMP,4,10,cleavland.csv,0.541254,7.152531
Sequential,5,10,cleavland.csv,0.541254,9.532510
MPI,5,10,cleavland.csv,0.541254,2.247531
OpenMP,5,10,cleavland.csv,0.541254,3.020991
Sequential,6,10,cleavland.csv,0.541254,12.488350
MPI,6,10,cleavland.csv,0.541254,3.773383
OpenMP,6,10,cleavland.csv,0.541254,4.021224
Sequential,7,10,cleavland.csv,0.610561,15.829050
MPI,7,10,cleavland.csv,0.541254,2.293514
OpenMP,7,10,cleavland.csv,0.561056,3.380918
Sequential,8,10,cleavland.csv,0.541254,6.127768
MPI,8,10,cleavland.csv,0.541254,2.775750
OpenMP,8,10,cleavland.csv,0.541254,4.571502
Sequential,9,10,cleavland.csv,0.541254,10.802941
OpenMP,9,10,cleavland.csv,0.541254,6.632861
Sequential,10,10,cleavland.csv,0.541254,13.878119
OpenMP,10,10,cleavland.csv,0.640264,11.922369
Sequential,11,10,cleavland.csv,0.541254,15.685178
OpenMP,11,10,cleavland.csv,0.541254,9.730625
Sequential,12,10,cleavland.csv,0.541254,23.605224
OpenMP,12,10,cleavland.csv,0.541254,10.308738
Sequential,13,10,cleavland.csv,0.541254,18.706873
OpenMP,13,10,cleavland.csv,0.570957,12.292398
Sequential,5,10,cleavland.csv,0.551155,13.496589
MPI,5,10,cleavland.csv,0.541254,2.120963
OpenMP,5,10,cleavland.csv,0.541254,4.743207
Sequential,5,20,cleavland.csv,0.541254,8.724298
MPI,5,20,cleavland.csv,0.541254,4.830174
