METHOD,AGENTNUM,ITERNUM,SOURCE,SCORE,TIME
Sequential,5,10,cleavland.csv,0.541254,13.682061
MPI,5,10,cleavland.csv,0.541254,2.594356
OpenMP,5,10,cleavland.csv,0.600660,6.618092
Sequential,6,10,cleavland.csv,0.650165,16.900971
MPI,6,10,cleavland.csv,0.541254,2.368695
OpenMP,6,10,cleavland.csv,0.541254,2.666632
Sequential,7,10,cleavland.csv,0.541254,13.454291
MPI,7,10,cleavland.csv,0.541254,2.509171
OpenMP,7,10,cleavland.csv,0.541254,4.434628
Sequential,8,10,cleavland.csv,0.541254,20.738216
MPI,8,10,cleavland.csv,0.541254,4.474455
OpenMP,8,10,cleavland.csv,0.541254,4.135035
Sequential,9,10,cleavland.csv,0.541254,15.523856
MPI,9,10,cleavland.csv,0.541254,2.854029
OpenMP,9,10,cleavland.csv,0.541254,5.956609
Sequential,10,10,cleavland.csv,0.541254,14.211230
MPI,10,10,cleavland.csv,0.574257,2.843306
OpenMP,10,10,cleavland.csv,0.541254,5.919872
Sequential,11,10,cleavland.csv,0.541254,14.658390
MPI,11,10,cleavland.csv,0.541254,5.398530
OpenMP,11,10,cleavland.csv,0.541254,7.965892
Sequential,12,10,cleavland.csv,0.561056,21.093752
MPI,12,10,cleavland.csv,0.541254,3.165569
OpenMP,12,10,cleavland.csv,0.541254,7.254151
Sequential,13,10,cleavland.csv,0.541254,26.231932
MPI,13,10,cleavland.csv,0.541254,4.338100
OpenMP,13,10,cleavland.csv,0.541254,7.411729
Sequential,5,10,cleavland.csv,0.541254,6.383405
MPI,5,10,cleavland.csv,0.541254,3.095440
OpenMP,5,10,cleavland.csv,0.561056,5.907704
Sequential,5,20,cleavland.csv,0.541254,9.511367
MPI,5,20,cleavland.csv,0.541254,3.988249
OpenMP,5,20,cleavland.csv,0.541254,8.539330
Sequential,5,30,cleavland.csv,0.541254,22.660015
MPI,5,30,cleavland.csv,0.541254,4.288235
OpenMP,5,30,cleavland.csv,0.541254,9.507021
Sequential,5,40,cleavland.csv,0.541254,30.629205
MPI,5,40,cleavland.csv,0.541254,10.115864
OpenMP,5,40,cleavland.csv,0.541254,25.767644
Sequential,5,50,cleavland.csv,0.541254,18.274027
MPI,5,50,cleavland.csv,0.541254,5.997525
OpenMP,5,50,cleavland.csv,0.541254,18.040145
Sequential,5,60,cleavland.csv,0.541254,18.411182
MPI,5,60,cleavland.csv,0.541254,1.497404
OpenMP,5,60,cleavland.csv,0.541254,21.408436
Sequential,5,70,cleavland.csv,0.541254,41.962674
MPI,5,70,cleavland.csv,0.541254,19.849401
OpenMP,5,70,cleavland.csv,0.541254,16.637207
Sequential,5,80,cleavland.csv,0.541254,54.675488
MPI,5,80,cleavland.csv,0.541254,21.912108
OpenMP,5,80,cleavland.csv,0.541254,33.304899
Sequential,5,90,cleavland.csv,0.541254,122.050838
MPI,5,90,cleavland.csv,0.541254,13.287978
OpenMP,5,90,cleavland.csv,0.541254,51.113907
Sequential,5,100,cleavland.csv,0.541254,30.261342
MPI,5,100,cleavland.csv,0.541254,17.914889
OpenMP,5,100,cleavland.csv,0.541254,12.370115
Sequential,5,10,cleavland-9.csv,0.555556,0.005570
MPI,5,10,cleavland-9.csv,0.555556,0.002887
OpenMP,5,10,cleavland-9.csv,0.555556,0.270142
Sequential,5,10,cleavland-100.csv,0.250000,0.166673
MPI,5,10,cleavland-100.csv,0.250000,0.111435
OpenMP,5,10,cleavland-100.csv,0.250000,0.332439
Sequential,5,10,cleavland-600.csv,0.246667,8.641136
MPI,5,10,cleavland-600.csv,0.246667,1.709789
OpenMP,5,10,cleavland-600.csv,0.246667,4.824990
Sequential,5,10,cleavland-1000.csv,0.217000,20.496214
MPI,5,10,cleavland-1000.csv,0.217000,4.497788
OpenMP,5,10,cleavland-1000.csv,0.217000,14.225177
Sequential,4,10,cleavland.csv,0.570957,6.735724
MPI,4,10,cleavland.csv,0.541254,4.214756
OpenMP,4,10,cleavland.csv,0.541254,5.971255
Sequential,5,10,cleavland.csv,0.570957,7.112166
MPI,5,10,cleavland.csv,0.541254,4.187899
OpenMP,5,10,cleavland.csv,0.541254,1.774235
Sequential,6,10,cleavland.csv,0.574257,20.264406
MPI,6,10,cleavland.csv,0.541254,3.816124
OpenMP,6,10,cleavland.csv,0.554455,5.904123
Sequential,7,10,cleavland.csv,0.541254,12.593112
MPI,7,10,cleavland.csv,0.594059,3.816111
OpenMP,7,10,cleavland.csv,0.547855,6.904479
Sequential,8,10,cleavland.csv,0.541254,13.836248
MPI,8,10,cleavland.csv,0.561056,5.190194
OpenMP,8,10,cleavland.csv,0.541254,5.957689
Sequential,9,10,cleavland.csv,0.541254,13.251446
MPI,9,10,cleavland.csv,0.541254,5.222406
OpenMP,9,10,cleavland.csv,0.574257,7.256546
Sequential,10,10,cleavland.csv,0.541254,16.930985
MPI,10,10,cleavland.csv,0.547855,3.880060
OpenMP,10,10,cleavland.csv,0.541254,7.895592
Sequential,11,10,cleavland.csv,0.541254,22.539994
MPI,11,10,cleavland.csv,0.541254,2.450060
OpenMP,11,10,cleavland.csv,0.541254,7.264538
Sequential,12,10,cleavland.csv,0.541254,21.436869
MPI,12,10,cleavland.csv,0.541254,3.730439
OpenMP,12,10,cleavland.csv,0.541254,4.082287
Sequential,13,10,cleavland.csv,0.541254,23.897204
MPI,13,10,cleavland.csv,0.541254,4.902933
OpenMP,13,10,cleavland.csv,0.541254,7.858427
Sequential,5,10,cleavland.csv,0.541254,15.148842
MPI,5,10,cleavland.csv,0.607261,2.800333
OpenMP,5,10,cleavland.csv,0.541254,6.960188
Sequential,5,20,cleavland.csv,0.541254,14.629911
MPI,5,20,cleavland.csv,0.541254,7.298501
OpenMP,5,20,cleavland.csv,0.541254,13.114271
Sequential,5,30,cleavland.csv,0.541254,15.500038
MPI,5,30,cleavland.csv,0.541254,5.993348
OpenMP,5,30,cleavland.csv,0.541254,11.484498
Sequential,5,40,cleavland.csv,0.541254,20.905338
MPI,5,40,cleavland.csv,0.541254,13.613269
OpenMP,5,40,cleavland.csv,0.547855,12.000364
Sequential,5,50,cleavland.csv,0.541254,44.945727
MPI,5,50,cleavland.csv,0.541254,12.002360
OpenMP,5,50,cleavland.csv,0.541254,37.205670
Sequential,5,60,cleavland.csv,0.541254,36.285392
MPI,5,60,cleavland.csv,0.541254,13.240063
OpenMP,5,60,cleavland.csv,0.541254,5.698208
Sequential,5,70,cleavland.csv,0.541254,27.840763
MPI,5,70,cleavland.csv,0.541254,10.755259
OpenMP,5,70,cleavland.csv,0.541254,29.153928
Sequential,5,80,cleavland.csv,0.541254,27.623063
MPI,5,80,cleavland.csv,0.541254,11.352052
OpenMP,5,80,cleavland.csv,0.541254,38.050882
Sequential,5,90,cleavland.csv,0.541254,33.628242
MPI,5,90,cleavland.csv,0.541254,11.639840
OpenMP,5,90,cleavland.csv,0.541254,27.590299
Sequential,5,100,cleavland.csv,0.541254,33.796948
MPI,5,100,cleavland.csv,0.541254,21.834461
OpenMP,5,100,cleavland.csv,0.541254,48.882348
Sequential,5,10,cleavland-9.csv,0.555556,0.023925
MPI,5,10,cleavland-9.csv,0.555556,0.003542
OpenMP,5,10,cleavland-9.csv,0.555556,0.260813
Sequential,5,10,cleavland-100.csv,0.250000,0.174773
MPI,5,10,cleavland-100.csv,0.250000,0.114380
OpenMP,5,10,cleavland-100.csv,0.250000,0.430389
Sequential,5,10,cleavland-600.csv,0.246667,7.304327
MPI,5,10,cleavland-600.csv,0.246667,5.470558
OpenMP,5,10,cleavland-600.csv,0.246667,4.009837
Sequential,5,10,cleavland-1000.csv,0.217000,16.718555
MPI,5,10,cleavland-1000.csv,0.217000,7.164871
OpenMP,5,10,cleavland-1000.csv,0.217000,15.357063
